species,filename,mean_R,mean_G,mean_B,mean_brightness,contrast
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085931.jpg,184.54224,167.50447,144.67036,169.99551,74.92771
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085933.jpg,147.8577,129.96552,105.648575,132.54321,66.66399
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085935.jpg,187.74452,171.044,147.75523,173.38266,73.66462
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085937.jpg,190.53189,173.51973,150.68697,176.00352,69.25856
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085951.jpg,198.58228,190.66965,186.73863,192.58742,58.410145
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085952.jpg,195.54588,186.79948,182.75166,188.95374,63.245422
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_085955.jpg,184.96274,174.5813,157.71387,175.76251,68.749596
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090038.jpg,152.66809,134.96458,117.432556,138.25928,60.904896
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090040.jpg,151.50783,127.54076,105.06202,132.14436,54.669308
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090043.jpg,159.71472,142.0363,127.9177,145.7126,56.841885
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090046.jpg,158.06685,142.7935,129.14496,145.80424,62.40636
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090053.jpg,176.75108,167.94147,157.53232,169.389,64.80783
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090054.jpg,177.77066,169.20078,159.70888,170.68115,65.68103
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090057.jpg,152.52464,148.2867,141.41205,148.77007,77.242676
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090058.jpg,154.40132,149.85893,143.51419,150.49388,77.00228
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090113.jpg,169.29875,151.41866,133.27849,154.69685,46.89513
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090115.jpg,172.40872,158.34415,148.71605,161.45189,48.642952
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090118.jpg,177.35555,166.98106,164.01422,169.74474,48.658623
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090122.jpg,174.09993,164.81154,156.81561,166.6771,51.08069
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090123.jpg,174.47731,165.13637,156.95154,166.99634,50.903427
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090126.jpg,170.97604,160.52118,155.23114,163.04405,50.52624
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090128.jpg,183.42593,174.11984,168.49913,176.26155,50.461147
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090130.jpg,188.04062,179.43555,169.10239,180.83044,34.86727
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090135.jpg,180.55446,171.49524,171.58115,174.21378,52.83662
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090136.jpg,183.36139,174.69931,173.01837,177.09772,56.513042
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090139.jpg,185.88162,176.61504,174.35936,179.12865,56.336273
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090146.jpg,174.68369,150.15054,131.02324,155.30542,63.15783
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090148.jpg,177.11244,153.57738,135.09242,158.50713,65.05333
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090232.jpg,177.17038,168.30678,156.87277,169.65353,57.214603
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090237.jpg,176.46445,170.79861,164.90637,171.8213,61.09473
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090253.jpg,183.78934,177.84961,167.35126,178.42892,53.982906
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090258.jpg,185.76022,179.33241,170.32216,180.22723,59.844227
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090301.jpg,174.85841,157.5611,149.99733,161.87068,62.948116
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090303.jpg,184.61061,164.78372,154.1528,169.50002,61.39472
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090314.jpg,170.6389,160.84634,150.87383,162.63713,61.8544
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090315.jpg,170.23286,158.24112,148.99757,160.77289,63.706264
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090316.jpg,173.76611,163.58383,155.27606,165.68118,66.510315
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090317.jpg,173.77707,163.87073,154.37082,165.74968,61.948673
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090318.jpg,174.23232,164.1194,155.7252,166.18622,65.40342
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090320.jpg,175.92114,166.28139,157.72302,168.1879,66.02628
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090321.jpg,175.89462,165.96913,157.2323,167.94087,65.263275
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090322.jpg,168.85968,158.65292,149.65205,160.67883,62.301926
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090324.jpg,161.89108,150.35056,141.96933,152.84563,59.135105
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090326.jpg,178.96286,170.67252,165.6577,172.57933,63.12121
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090428.jpg,136.00388,129.9815,114.01857,129.96242,84.01031
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200805_090437.jpg,122.710846,121.2998,106.28159,120.009605,81.33067
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082029.jpg,67.00605,95.896416,140.22942,92.312195,41.646233
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082030.jpg,71.5692,102.33499,144.2149,97.91024,45.998512
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082138.jpg,145.99141,95.389084,59.761734,106.45758,46.51575
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082356.jpg,167.0218,143.35458,119.58206,147.72102,57.808838
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082359.jpg,182.7073,161.40709,138.02037,165.10976,61.12843
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082401.jpg,169.0487,145.39578,120.4542,149.62463,54.44264
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082422.jpg,183.84874,161.8857,137.62311,165.68683,57.436375
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082427.jpg,178.93694,155.04732,129.93042,159.32713,53.372276
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082500.jpg,182.52989,159.53676,133.97995,163.49811,59.203922
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082504.jpg,183.47827,159.64476,133.93408,163.83987,58.012413
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082506.jpg,182.97539,159.4164,133.64146,163.52219,58.54021
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082509.jpg,177.89706,156.24101,129.57536,159.67628,57.287907
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082512.jpg,178.39734,155.84418,129.7094,159.60803,58.790493
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082513.jpg,182.94868,160.71756,134.73958,164.40334,58.97414
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082516.jpg,183.92744,161.7981,135.80411,165.45143,58.35155
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082521.jpg,176.65636,152.55783,127.06927,156.85754,61.198452
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082524.jpg,181.84657,156.7297,131.13751,161.32224,58.521706
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082526.jpg,180.8492,157.95596,132.37077,161.88437,60.282127
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082527.jpg,182.19202,157.97716,132.3913,162.30078,59.542835
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082528.jpg,181.73177,157.651,132.14015,161.94287,60.058414
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082528_1.jpg,182.00027,158.90201,133.31949,162.89217,60.002552
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082529.jpg,181.85706,158.5586,132.8957,162.59926,59.876324
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082530.jpg,180.95615,157.71022,131.95216,161.72443,60.21455
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082540.jpg,175.86977,153.6518,128.8596,157.46887,64.038826
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082543.jpg,156.25371,132.01073,107.162415,136.42659,59.758205
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082547.jpg,157.16573,131.18542,107.33841,136.23482,58.580814
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082548.jpg,155.68214,131.16054,107.10819,135.75047,59.365696
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082551.jpg,170.18806,146.34552,122.184235,150.71996,62.08344
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082551_1.jpg,170.84135,147.23445,123.07697,151.53897,62.040916
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082553.jpg,183.3994,160.154,136.00221,164.35121,61.176422
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082554.jpg,182.00876,158.60638,134.5091,162.85661,62.079956
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082620.jpg,178.2048,137.78308,101.85805,145.77376,67.86979
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082621.jpg,183.69264,144.30206,106.29596,151.74713,61.118523
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082626.jpg,184.2882,142.42378,106.018005,150.79077,58.777752
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082629.jpg,185.7129,143.37537,106.721855,151.85567,57.962757
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082633.jpg,196.10443,148.25092,105.672264,157.70526,54.6011
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082634.jpg,196.29564,146.8623,101.64315,156.48788,53.741383
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082638.jpg,178.08916,126.31784,84.69623,137.05257,50.226555
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082642.jpg,196.3461,146.33792,101.43637,156.17155,50.564636
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082712.jpg,190.71976,145.19673,109.72702,154.76463,56.045864
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082737.jpg,175.81538,145.69992,115.6935,151.2837,64.43341
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082743.jpg,175.18147,143.83667,112.88457,149.68024,56.02584
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082752.jpg,150.1962,118.27277,89.3555,124.521355,61.597057
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082752_1.jpg,161.81296,130.36884,100.2372,136.33562,59.32957
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082757.jpg,149.17798,115.769905,88.49247,122.64929,63.762074
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082759.jpg,194.58148,154.60503,119.228134,162.52487,60.774155
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082802.jpg,199.70052,158.03476,121.38539,166.31482,60.697815
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082802_1.jpg,198.90945,157.44872,120.71181,165.65735,60.656895
BabockaAdmiral,BabockaAdmiral_Kolovraty_IMG_20200807_082803.jpg,199.83746,158.67714,122.05838,166.8097,60.43324
